gene,mean_expression
A2M,0.8180439401640008
LDHB,0.8180018459625592
GM2A,0.8173121244011335
TMED9,0.8162262307985729
FLNB,0.8158723727756778
GSN,0.8148600141585662
PHB2,0.8144521115236725
DNAJB6,0.8134293041087144
PSMB1,0.8132171579050702
CTSK,0.8125708859586558
KLK11,0.8113465453960643
TOMM20,0.8105397228373598
DYNC1H1,0.8059111727487962
NDUFA11,0.805792113112298
ENAH,0.8051731514910988
IQGAP1,0.8051247074706664
ATP6AP1,0.8046476103562787
ATP2A2,0.8039742997841329
AC006386.1,0.803893363831059
ARF6,0.8023079514306113
VDAC2,0.8016985363715532
LARP1,0.8013528888884759
CRABP2,0.7995322983687287
CDSN,0.7991791026827121
ZNF207,0.7988091292266815
SRSF9,0.7983020345698919
SPRR2F,0.7977083884919716
ILF3,0.797544626457407
NDUFA10,0.7974047418066997
HSBP1,0.7967802037959857
WASF2,0.796724065718864
ID1,0.7947351064113591
CNN2,0.7947045279950495
ATP6V0E1,0.7931175963176007
COX5A,0.7930060450900469
H2AFY,0.791846709584953
PRSS23,0.791374085532711
ARPC4,0.790330921577302
CDV3,0.7896312482605706
SURF4,0.7895151069572824
MAP4,0.789284560952755
CYB5R1,0.7890865226208374
RBX1,0.7883913574234539
CSNK2B,0.7864171488099541
RRBP1,0.7863045572149043
SYNCRIP,0.7858207006722886
COL5A3,0.7857625183976249
EIF3G,0.7855449411154583
ARF1,0.7852386800658624
COX6A1,0.7851565157044802
NHP2,0.7833955067869843
SSR1,0.7831037761705206
TRA2B,0.7821109867500549
HMGA1,0.7818682417766938
HNRNPDL,0.7814822631659887
EIF4B,0.7810523755206967
TNFRSF1A,0.7791795592927775
SHFM1,0.7790616584435993
ETF1,0.7771503839469114
CHD4,0.7757614008243511
SPRR1A,0.7756884057592872
CD47,0.7751314788069946
CCT7,0.7751249566378183
RER1,0.7749203578723187
EI24,0.7723198823680152
CDC37,0.7717337278735559
EIF3M,0.7717199764208288
RAP1B,0.7715673718527453
ATPIF1,0.771148420031497
TRAM1,0.7707845866926853
EIF3C,0.7707485276342227
SEC61B,0.7695652565221913
BICD2,0.7692222886823661
PTBP3,0.7686226723703328
CAPG,0.7683632767555729
CDH1,0.7682916077458306
OST4,0.7682775095697271
FAM83H,0.7676432055254646
PSMB5,0.7673542921906276
EIF3CL,0.7672365422773835
LY6E,0.7666327600052815
RPL30,0.7658039952646818
ATP5J,0.7649960847485144
SRSF11,0.7643426225970913
TXNL4A,0.7630708076997309
LAMB3,0.762592796556997
FAM213A,0.7617789707239101
MINOS1,0.761580922252295
HSPG2,0.7589316267692885
SPRR2B,0.7572084600907683
REEP5,0.7559830390953071
STUB1,0.7549871967624355
KLF5,0.7547438343530459
KIF5B,0.7542543662403594
UBE2M,0.7532843339522153
RNF187,0.7532165377641356
CD151,0.7530277842125356
RPN1,0.7520920915763505
UBB,0.7520262004425194
MLF2,0.7518850867914049
MRFAP1,0.7516617299803835
RHCG,0.7509947272128616
EMP1,0.7506654450534195
TMEM59,0.7505846147900386
EIF5AL1,0.7497853841509251
KPNB1,0.747346414635513
CDC25B,0.7472928296651272
KARS,0.7472239387351156
ATP5F1,0.7471860739963734
HMGN2,0.7457992925450502
MTCH1,0.7456430523156725
HIGD1A,0.7449840210032779
SARAF,0.7430086431913818
MACF1,0.7427561848072817
GNAI3,0.7422198061615426
THBD,0.7417404335362232
ITGB1,0.7407092133795978
CCND2,0.7398295870778576
EIF3E,0.7396237727822057
COX7B,0.7395787648116516
HEBP2,0.7394323795047028
UFD1L,0.7391533937971324
SSR3,0.7383504448742266
ATP5D,0.7382023060657331
NDUFB2,0.7375570505561418
CD14,0.7371676804016758
PTMS,0.7359510528676162
NDUFB7,0.7353635630909575
SPTBN1,0.7343790422606942
MVP,0.7328797318534741
DAZAP1,0.7319645385276403
BAG1,0.7310080555397154
SRP14,0.7307174325680101
LMAN2,0.7305253107125396
FXYD5,0.729517594152531
ATP6V0B,0.7290343423898251
EPN1,0.7286829267511304
TAX1BP3,0.728130716707138
CTDNEP1,0.7276579747531587
GRINA,0.7273240384479233
DDB1,0.7271082752094363
AQP1,0.7269989809157044
MTDH,0.7266854274006475
PRKAR1A,0.7247705528672957
HN1,0.7241656125973392
TKT,0.7227995628552721
FUS,0.7225692650636301
PTTG1IP,0.7224755937986026
PRRC2C,0.7211909872905308
C8orf59,0.7205858437332097
FAM129B,0.7200038650671378
WISP2,0.7197858991212402
LSM4,0.7193927311936751
SLC2A4RG,0.718958447212415
PMEPA1,0.7189523639367116
NFIC,0.7175337883662309
CENPB,0.7175001017502601
TXNIP,0.7172197847324886
SERPINB13,0.7166747190798355
CAV1,0.7166186548917499
COX5B,0.7147588254698855
H2AFJ,0.7146539286963197
JAG1,0.7140605742272162
SF3B1,0.7139018721730503
ATOX1,0.711161285293418
MAP7D1,0.7107738577421533
FLG,0.7102506740746514
TMED3,0.7077555371238696
VCL,0.7064310913251726
PSMB8,0.7064060233039966
XRCC6,0.706150176706693
SFRP2,0.7054970306621877
SSTR2,0.7051901101868674
HMGN1,0.7048342842238629
WSB2,0.7045928198622157
SLC39A6,0.7042386944325555
SLIRP,0.7042015136176387
KHDRBS1,0.703899386554759
C19orf53,0.7033965027095467
CCT3,0.7032105712503787
TM9SF3,0.7026288032729104
AKR1B10,0.7026208004365299
IRF2BP2,0.702561636190146
NDUFA1,0.7019934213121996
GLUL,0.7010905313373401
DBNL,0.7006728421674658
VASP,0.700148373644873
HOPX,0.7000942871665323
