gene,variance
PDIA3,0.5117015719882776
GRINA,0.5108290736381706
CDC25B,0.5107733634181624
RAP1B,0.509905197548556
ATP6V0B,0.5088816890036058
RBX1,0.5085990048449546
RPL3,0.5085690004381093
NFIC,0.5085560453166174
RPS11,0.5076712963368143
ARF6,0.5075206558666653
SF1,0.5069142513312649
XRCC5,0.5069113274398308
EMP1,0.5067753223055079
PLVAP,0.5065910274078737
HADHA,0.5063451047781417
PSMB6,0.5060098124870779
RPS25,0.505557502605347
MDH2,0.5046790853549148
TUBA1A,0.5045665646059856
ZNF207,0.5044155877657044
TCF4,0.5043939916886936
PLD3,0.5043477607257203
UBA1,0.5042414685452719
AP2M1,0.5039584411247082
COX6A1,0.503520045161708
CNN2,0.5035097319950782
HMGN2,0.5034078011393971
DCTN2,0.503229742777559
EIF3G,0.5031302211856147
ILF3,0.5024864131141245
ATP5J,0.5023298422224307
HN1,0.5022171687139481
NHP2,0.5021859209406488
RPL30,0.5013570996265815
S100A13,0.5010169255639652
GSN,0.5007867842750061
RPL14,0.5006765266638865
CTSZ,0.5006184250983624
LAMTOR1,0.4997645487583794
SELM,0.49973940009557066
NELL2,0.49951249457928815
CCT7,0.49948717107511376
HNRNPDL,0.49945116915428117
THBD,0.49928608350622206
C6orf62,0.4991880420649988
HSBP1,0.4990865848402474
HMGA1,0.4987119596439528
CTTN,0.4986758379509734
EIF3E,0.4984999438911221
RABAC1,0.4982238089771119
CCND2,0.49794155463488987
CST6,0.4978062133618242
FMOD,0.4977648069152674
SPRR2G,0.49737293340419003
PTBP3,0.49713424918804167
VDAC2,0.4970716201442352
CKAP4,0.49617482942959973
KLF6,0.496078797403623
NDUFA11,0.495915602346948
CEBPB,0.4957809659076216
CD47,0.4955026233318627
IRAK1,0.49469685157815746
COMP,0.4946207515967413
SRSF11,0.49441951377659205
MINOS1,0.4944147694064037
UBB,0.4941528959910263
PHB2,0.49359786116022564
HIGD1A,0.49281194476206935
CSNK2B,0.49270737782802504
JAG1,0.492019537589013
UFD1L,0.49185099201239846
STAT2,0.49178413156144396
FAM83H,0.49102093824334686
SPTBN1,0.4908232216688065
RPS28,0.4903104636533294
ZNF185,0.49021210368972234
IL36RN,0.49003430065833836
SERPINE2,0.489987637141109
CALU,0.48995933494386656
TOMM20,0.4899095700773778
TMEM59,0.4897497985642215
UPP1,0.489552451390516
PSMB5,0.4895304740588487
GGH,0.48948823851661283
TNFRSF1A,0.48926347786659435
SRSF5,0.48896267593779585
SEMA3C,0.4887137740064463
WASF2,0.4886825027480014
FLG2,0.48816516508288443
ADAR,0.4876262003492899
EIF5AL1,0.48761420276460754
BRK1,0.48743462522746417
EIF4B,0.4870072357724254
TMED9,0.4861093220265881
GHITM,0.4858717050989897
H2AFY,0.4856311205738301
RPS14,0.48543523254451987
AC006386.1,0.4852970247558532
SRSF9,0.48496940169887
MPZL2,0.4848787120734106
METRNL,0.4845915456246628
FAM162A,0.48440778399000994
PDCD4,0.48410778460521425
EI24,0.4835895213884496
SEC62,0.48247803325618144
LGMN,0.48219387518728446
ATP2A2,0.48195254689220657
NDUFB7,0.48193119881805757
TRAPPC2L,0.48157814015548217
MACF1,0.4814918031752673
HEBP2,0.48081257095816776
CHD4,0.48077553723861277
SLIRP,0.4806743610263631
ITGB1,0.48040047575084005
ARF1,0.4797872332160232
GM2A,0.4795872409575526
NFIB,0.47955978660307036
CFL1,0.4795132995016253
SYNCRIP,0.4795012137255166
BASP1,0.4792878260982837
ATP6V1G1,0.4785970563869505
TKT,0.4781635495052014
LARP1,0.4781018898010891
RPN1,0.4778954599625955
HLA.DMB,0.47721954930904215
ATPIF1,0.4771348774241258
SSR1,0.4770314470116018
IQGAP1,0.47703069172838347
CDC37,0.4769230209846979
ATOX1,0.4769226618364953
S100A2,0.4764447378670874
CDV3,0.47617402812267506
TRA2B,0.4759459912291281
SLC3A2,0.47559114882685544
CYB5R3,0.4755074481458295
SEC61B,0.47504105333740665
MAP7D1,0.4749211088889597
GNAI3,0.47470507651942767
CAV1,0.4745771179084437
FBLN2,0.4742632792439764
WSB1,0.47411488875245245
EIF3C,0.47408998855192963
CA12,0.4739955732680512
SPON2,0.4739414781934529
MVP,0.4738174882483652
ATP6AP1,0.4738016206020032
NOP56,0.4737310350809827
H2AFJ,0.47329358878335087
ACKR3,0.473101778917337
CCT3,0.4730732443730471
ATP5D,0.4728461407303769
COX7B,0.47274672679650315
VCAN,0.47266705905218676
SHFM1,0.47231341302723273
ATP5F1,0.47207686145283745
RPL35A,0.47205444284487924
TAP1,0.47171435585278637
SLC39A6,0.47170682136518216
DYNC1H1,0.47167323395028393
ISG15,0.4711508766906155
NCOR2,0.47114812212631935
ATP6V0E1,0.4710930737535234
NBL1,0.4709509619471852
RER1,0.4709113862212868
REEP5,0.470854367652316
CD151,0.47055700583647303
