gene,variance
IRAK1,0.49469685157815896
COMP,0.4946207515967405
SRSF11,0.4944195137765896
MINOS1,0.49441476940640416
UBB,0.49415289599102774
PHB2,0.4935978611602253
HIGD1A,0.4928119447620709
CSNK2B,0.49270737782802637
JAG1,0.49201953758901273
UFD1L,0.49185099201239857
STAT2,0.491784131561445
FAM83H,0.4910209382433481
SPTBN1,0.4908232216688065
RPS28,0.4903104636533294
ZNF185,0.49021210368972196
IL36RN,0.49003430065833575
SERPINE2,0.4899876371411086
CALU,0.4899593349438649
TOMM20,0.4899095700773754
TMEM59,0.48974979856422407
UPP1,0.4895524513905163
PSMB5,0.48953047405885003
GGH,0.4894882385166136
TNFRSF1A,0.48926347786659535
SRSF5,0.48896267593779463
SEMA3C,0.4887137740064481
WASF2,0.48868250274800223
FLG2,0.488165165082885
ADAR,0.4876262003492917
EIF5AL1,0.4876142027646091
BRK1,0.48743462522746456
EIF4B,0.48700723577242655
